2024-07-17 10:50:13,745 ERROR   wandb-upload_0:9608 [internal_api.py:upload_file():2887] upload_file exception https://storage.googleapis.com/wandb-production.appspot.com/rasool/test_project/36bkkm8c/wandb-metadata.json?Expires=1721314213&GoogleAccessId=gorilla-files-url-signer-man%40wandb-production.iam.gserviceaccount.com&Signature=ceFWm2qc%2Fliel7MoSfcQUPyVIdGqh3vlT%2FA073ZKQWCWmZM34%2BAGqTNAWcB6y4eLEqsTRADJuqz%2ByAwCjvLi%2BpwHzQhY3Qq38ikJ%2FfhPQurA3mjgG6fw9UpacDE2mUe%2BKO0zjW1SKqH4cLTu3rfLi1sQQ44syTpaj%2BkKQL1kGfHa6dyNGTjhvNZcJt29NvMJRXqi1R%2BSt5yzDLXIv8urOs%2BxsE9dOnTv1%2FSH5pKp5vezbi6CnI2Tcd234W%2FGECJqUb8W8XpzsYzdGhZ0C9C8ZQ9g2sXF5KZoDL1h44ZPhYLj%2BdSoe2ymEu%2B4c6%2BQK%2FJmtdf3ZwRmzv3SlmRqihzUvw%3D%3D: HTTPSConnectionPool(host='storage.googleapis.com', port=443): Max retries exceeded with url: /wandb-production.appspot.com/rasool/test_project/36bkkm8c/wandb-metadata.json?Expires=1721314213&GoogleAccessId=gorilla-files-url-signer-man%40wandb-production.iam.gserviceaccount.com&Signature=ceFWm2qc%2Fliel7MoSfcQUPyVIdGqh3vlT%2FA073ZKQWCWmZM34%2BAGqTNAWcB6y4eLEqsTRADJuqz%2ByAwCjvLi%2BpwHzQhY3Qq38ikJ%2FfhPQurA3mjgG6fw9UpacDE2mUe%2BKO0zjW1SKqH4cLTu3rfLi1sQQ44syTpaj%2BkKQL1kGfHa6dyNGTjhvNZcJt29NvMJRXqi1R%2BSt5yzDLXIv8urOs%2BxsE9dOnTv1%2FSH5pKp5vezbi6CnI2Tcd234W%2FGECJqUb8W8XpzsYzdGhZ0C9C8ZQ9g2sXF5KZoDL1h44ZPhYLj%2BdSoe2ymEu%2B4c6%2BQK%2FJmtdf3ZwRmzv3SlmRqihzUvw%3D%3D (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1006)')))
2024-07-17 10:50:13,746 ERROR   wandb-upload_0:9608 [internal_api.py:upload_file():2889] upload_file request headers: {'User-Agent': 'python-requests/2.32.3', 'Accept-Encoding': 'gzip, deflate', 'Accept': '*/*', 'Connection': 'keep-alive', 'Content-Length': '1203'}
2024-07-17 10:50:13,746 ERROR   wandb-upload_0:9608 [internal_api.py:upload_file():2891] upload_file response body: ''
2024-07-17 10:50:13,774 DEBUG   SenderThread:9608 [sender.py:send():379] send: telemetry
2024-07-17 10:50:13,774 DEBUG   SenderThread:9608 [sender.py:send():379] send: history
2024-07-17 10:50:13,774 DEBUG   SenderThread:9608 [sender.py:send_request():406] send_request: summary_record
2024-07-17 10:50:13,776 INFO    SenderThread:9608 [sender.py:_save_file():1454] saving file wandb-summary.json with policy end
2024-07-17 10:50:13,776 DEBUG   SenderThread:9608 [sender.py:send():379] send: telemetry
2024-07-17 10:50:13,776 DEBUG   SenderThread:9608 [sender.py:send_request():406] send_request: server_info
2024-07-17 10:50:13,852 DEBUG   SenderThread:9608 [sender.py:send():379] send: exit
2024-07-17 10:50:13,852 INFO    SenderThread:9608 [sender.py:send_exit():586] handling exit code: 0
2024-07-17 10:50:13,853 INFO    SenderThread:9608 [sender.py:send_exit():588] handling runtime: 3
2024-07-17 10:50:13,856 INFO    SenderThread:9608 [sender.py:_save_file():1454] saving file wandb-summary.json with policy end
2024-07-17 10:50:13,856 INFO    SenderThread:9608 [sender.py:send_exit():594] send defer
2024-07-17 10:50:13,856 DEBUG   HandlerThread:9608 [handler.py:handle_request():158] handle_request: defer
